Year,Series,Unit,Value
2017,Air transport freight,Million ton-km,29.231317
2018,Air transport freight,Million ton-km,31.036317
2019,Air transport freight,Million ton-km,30.685844
2020,Air transport freight,Million ton-km,42.460564
2021,Air transport freight,Million ton-km,38.185378
2022,Air transport freight,Million ton-km,32.722021
2017,Air transport passengers carried,Million passenger-km,1747.562386
2018,Air transport passengers carried,Million passenger-km,1623.21077
2019,Air transport passengers carried,Million passenger-km,1766.433959
2020,Air transport passengers carried,Million passenger-km,850.152365
2021,Air transport passengers carried,Million passenger-km,662.93315
2022,Air transport passengers carried,Million passenger-km,1216.238412
2010,"Container port traffic, maritime transport",Million TEU,0.142146
2011,"Container port traffic, maritime transport",Million TEU,0.161717
2012,"Container port traffic, maritime transport",Million TEU,0.184491
2015,"Container port traffic, maritime transport",Million TEU,0.193656
2017,"Container port traffic, maritime transport",Million TEU,0.177122
2018,"Container port traffic, maritime transport",Million TEU,0.170053
2020,"Container port traffic, maritime transport",Million TEU,0.204518
