Year,Series,Unit,Value
2000,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,198.81061
2001,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,150.63923
2002,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,73.28991
2003,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,81.3377
2004,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,80.87692
2005,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,79.47331
2006,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,93.57046
2007,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,79.8727
2008,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,85.97059
2009,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,130.05211
2010,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,168.08933
2011,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,182.02895
2012,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,189.13368
2013,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,190.7568
2014,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,182.61066
2015,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,214.18742
2016,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,160.22431
2017,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,167.88813
2018,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,298.29502
2019,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,226.36655
2020,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,251.03302
2021,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,276.47731
2022,"Official development assistance (gross disbursement) for technical cooperation, total",Million 2022 US dollars,179.43033
